filename,at what # of colors is the human no longer recognizable?
lady_before.jpg
./compress_photos/sideMan.jpg,240
olivia_before.jpeg
rwandan-man.jpg
./compress_photos/legal.jpg,3
./compress_photos/shortBlackHair.jpg,240
glitter.jpeg
./compress_photos/taeyong_after_20.jpeg,195
./compress_photos/whiteTurban.jpg,4
./compress_photos/white_before.jpg,225
./compress_photos/oldwoman.jpg,6
./compress_photos/manbun.jpg,12
./compress_photos/face_before.jpg,3
./compress_photos/obama_before.jpeg,15
whiteman.jpg
./compress_photos/tilt.jpg,30
./compress_photos/blondeCurls.jpg,195
red.jpg
./compress_photos/bright.jpg,2
./compress_photos/neon.jpg,11
